;;;;Annuitair Amortisatieschema;;;;;;;;;;;;
;;;Alleen gegevens in het blauw handmatig wijzigen. ;;;;;;;;;;;;;
;;;Input voor amortisatieschema;;Koopsom;;;;Basis voor amortisatieschema;;;;;;;
;;;Bedrag Lening (excl rente); € 24.034.770 ; € 23.563.500 ;;;;Periodieke annuiteit;; € 109.151,21 ;;;;;
;;;Jaarlijkse Interest;5,00%;;;;;Totaal aantal termijnen;;600;;;;;
;;;Leenperiode in jaren;50;;;;;Slottermijn;;;;;;;
;;;Aantal termijnen per jaar;12;;;;;Annuiteit per jaar;; € 1.309.814,50 ;;;;;
;;;Startdatum;31-12-2025;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Nr;Betaaldatum;Beginsaldo;Periodieke Annuiteit;Annuïtaire rente;Annuïtaire aflossing;Jaaraflossing annuïtair;Hoofdsom (feitelijke aflossing);Rente;Eindsaldo;Rente Cumulatief;Rente Resterend;;Jaarrente;Jaaraflossing feitelijk
1;0;1;31-1-2026; € 24.034.770,00 ; € 109.151,21 ;€ 100.145;€ 9.006,33;;; € 100.144,88 ; € 24.034.770,00 ; € 100.144,88 ; € 20.329.409,63 ;2026;  ;  
2;0;2;28-2-2026; € 24.034.770,00 ; € 109.151,21 ;€ 100.107;€ 9.043,86;;; € 100.144,88 ; € 24.034.770,00 ; € 200.289,75 ; € 20.329.409,63 ;2026;  ;  
3;0;3;31-3-2026; € 24.034.770,00 ; € 109.151,21 ;€ 100.070;€ 9.081,54;;; € 100.144,88 ; € 24.034.770,00 ; € 300.434,63 ; € 20.329.409,63 ;2026;  ;  
4;0;4;30-4-2026; € 24.034.770,00 ; € 109.151,21 ;€ 100.032;€ 9.119,38;;; € 100.144,88 ; € 24.034.770,00 ; € 400.579,50 ; € 20.329.409,63 ;2026;  ;  
5;0;5;31-5-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.994;€ 9.157,38;;; € 100.144,88 ; € 24.034.770,00 ; € 500.724,38 ; € 20.329.409,63 ;2026;  ;  
6;0;6;30-6-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.956;€ 9.195,54;;; € 100.144,88 ; € 24.034.770,00 ; € 600.869,25 ; € 20.329.409,63 ;2026;  ;  
7;0;7;31-7-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.917;€ 9.233,85;;; € 100.144,88 ; € 24.034.770,00 ; € 701.014,13 ; € 20.329.409,63 ;2026;  ;  
8;0;8;31-8-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.879;€ 9.272,32;;; € 100.144,88 ; € 24.034.770,00 ; € 801.159,00 ; € 20.329.409,63 ;2026;  ;  
9;0;9;30-9-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.840;€ 9.310,96;;; € 100.144,88 ; € 24.034.770,00 ; € 901.303,88 ; € 20.329.409,63 ;2026;  ;  
10;0;10;31-10-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.801;€ 9.349,76;;; € 100.144,88 ; € 24.034.770,00 ; € 1.001.448,75 ; € 20.329.409,63 ;2026;  ;  
11;0;11;30-11-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.762;€ 9.388,71;;; € 100.144,88 ; € 24.034.770,00 ; € 1.101.593,63 ; € 20.329.409,63 ;2026;  ;  
12;1;12;31-12-2026; € 24.034.770,00 ; € 109.151,21 ;€ 99.723;€ 9.427,83;€ 110.587; € -   ; € 100.144,88 ; € 24.034.770,00 ; € 1.201.738,50 ; € 20.329.409,63 ;2026; € 1.201.738,50 ; € -   
