;Cash Flow prognose HW cooperatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uitgangspunten;2025;;;2026;;2027;;2028;;2029;;2030;;2031;;2032;;2033;;2034;;2035;;2036;;2037;;2038;;2039;;2040;;2041;;2042;;2043;;2044;;2045;;2046;;2047;;2048;;2049;;2050;;2051;;2052;;2053;;2054;;2055;;2056;;2057;;2058;;2059;;2060;;2061;;2062;;2063;;2064;;2065;;2066;;2067;;2068;;2069;;2070;;2071;;2072;;2073;;2074;;2075;
;;(x 1.000);;;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);;(x 1.000);
;Huur verhoging per jaar;;;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;
;Kosten verhoging per jaar;;;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80000;Huur;;1658;;;1699;;1741;;1785;;1830;;1875;;1922;;1970;;2020;;2070;;2122;;2175;;2229;;2285;;2342;;2401;;2461;;2522;;2585;;2650;;2716;;2784;;2854;;2925;;2998;;3073;;3150;;3228;;3309;;3392;;3477;;3564;;3653;;3744;;3838;;3934;;4032;;4133;;4236;;4342;;4450;;4562;;4676;;4793;;4913;;5035;;5161;;5290;;5422;;5558;;5697
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70010;Klachten;72;;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;;36;
