; € 24,0 ;;24;;;;;;;;;v20250409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; € 40,1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uitgangspunten; € 49,1 ;;Toelichting:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Totaal leenbedrag; € 24,0 ;;"x mio; WOZ 2025= 49.127; 1/2x = 24.564 +2% overdrachtsbel.= 25.055.770";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Werkkapitaal; € -   ;;x1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taxatie onder WOZ; € 1 ;;x mio x2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interest;5,0%;;Actueel 4,8% maar Rabo geeft aan: reken met 5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huurstijging;2,5%;;Zoals de Rabo het graag wil: zelfde als kostenstijging/ inflatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kostenstijging;2,5%;;"Gemiddeld over de afgelopen 40 jaar 3,5-4,0%; laatste 20 jaar 2,5-3,0%";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onderhoud groei;3,0%;;Groeivoet van kosten onderhoud 2007-2025 was trendmatig gemiddeld 2,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aflossingstermijn;50;;"Annuïtair; risico 'renteaftrekbeperking onzakelijke leningen' (>30 jaar) lijkt irrelevant";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VPB;nee;;Diverse bronnen vermelden dat een artikel 18a wooncoöperatie geen onderneming drijft.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aflossing #jaren;39;;Uitkomst: duur totdat het hele dorp afgelost kan zijn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Prognose Wooncoöperatie Sidhadorp: 2026-35;;;;;;;;;;;Prognose 2036-45;;;;;;;;;;;Prognose: 2046-55;;;;;;;;;;;;;Prognose: 2056-65;;;;;;;;;;;;;Prognose: 2066-75;;;;;;;;;;;;;;;
;SHW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2025;;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;;Totaal;;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;;Totaal;;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;;TOTAAL;;;;
;;;1;2;3;4;5;6;7;8;9;10;;11;12;13;14;15;16;17;18;19;20;;21;22;23;24;25;26;27;28;29;30;;;;31;32;33;34;35;36;37;38;39;40;;;;41;42;43;44;45;46;47;48;49;50;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huur; 1.658 ;; 1.699 ; 1.741 ; 1.785 ; 1.830 ; 1.875 ; 1.922 ; 1.970 ; 2.020 ; 2.070 ; 2.122 ;; 2.175 ; 2.229 ; 2.285 ; 2.342 ; 2.401 ; 2.461 ; 2.522 ; 2.585 ; 2.650 ; 2.716 ;; 2.784 ; 2.854 ; 2.925 ; 2.998 ; 3.073 ; 3.150 ; 3.228 ; 3.309 ; 3.392 ; 3.477 ;; 74.588 ;; 3.564 ; 3.653 ; 3.744 ; 3.838 ; 3.934 ; 4.032 ; 4.133 ; 4.236 ; 4.342 ; 4.450 ;; 114.513 ;; 4.562 ; 4.676 ; 4.793 ; 4.913 ; 5.035 ; 5.161 ; 5.290 ; 5.422 ; 5.558 ; 5.697 ;; 165.620 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;40;30
Onderhoud; 419 ;; 73 ; 75 ; 78 ; 80 ; 82 ; 416 ; 428 ; 441 ; 454 ; 468 ;; 482 ; 496 ; 511 ; 526 ; 542 ; 558 ; 575 ; 592 ; 610 ; 629 ;; 647 ; 667 ; 687 ; 707 ; 729 ; 750 ; 773 ; 796 ; 820 ; 845 ;; 15.538 ;; 870 ; 896 ; 923 ; 951 ; 979 ; 1.009 ; 1.039 ; 1.070 ; 1.102 ; 1.135 ;; 25.512 ;; 1.169 ; 1.204 ; 1.240 ; 1.278 ; 1.316 ; 1.355 ; 1.396 ; 1.438 ; 1.481 ; 1.526 ;; 38.916 ;; 68.428 ; 25.512 ; 15.538 
Personeel; 152 ;; 186 ; 190 ; 195 ; 200 ; 205 ; 210 ; 215 ; 221 ; 226 ; 232 ;; 237 ; 243 ; 250 ; 256 ; 262 ; 269 ; 275 ; 282 ; 289 ; 297 ;; 304 ; 312 ; 319 ; 327 ; 336 ; 344 ; 353 ; 361 ; 370 ; 380 ;; 8.145 ;; 389 ; 399 ; 409 ; 419 ; 430 ; 440 ; 451 ; 463 ; 474 ; 486 ;; 12.505 ;; 498 ; 511 ; 523 ; 536 ; 550 ; 564 ; 578 ; 592 ; 607 ; 622 ;; 18.086 ;;;;
Huisvesting; 95 ;; 97 ; 100 ; 102 ; 105 ; 107 ; 110 ; 113 ; 116 ; 119 ; 122 ;; 125 ; 128 ; 131 ; 134 ; 138 ; 141 ; 145 ; 148 ; 152 ; 156 ;; 160 ; 164 ; 168 ; 172 ; 176 ; 181 ; 185 ; 190 ; 194 ; 199 ;; 4.275 ;; 204 ; 209 ; 215 ; 220 ; 225 ; 231 ; 237 ; 243 ; 249 ; 255 ;; 6.563 ;; 261 ; 268 ; 275 ; 282 ; 289 ; 296 ; 303 ; 311 ; 319 ; 327 ;; 9.493 ;; 75.072 ; 39.328 ; 29.346 
Kantoor; 2 ;; 2 ; 2 ; 2 ; 2 ; 2 ; 2 ; 2 ; 2 ; 2 ; 3 ;; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ; 3 ;; 3 ; 3 ; 4 ; 4 ; 4 ; 4 ; 4 ; 4 ; 4 ; 4 ;; 90 ;; 4 ; 4 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ; 5 ;; 138 ;; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 6 ; 7 ; 7 ; 7 ;; 200 ;;;;
Representatie; 21 ;; 11 ; 12 ; 12 ; 12 ; 12 ; 13 ; 13 ; 13 ; 14 ; 14 ;; 14 ; 15 ; 15 ; 16 ; 16 ; 16 ; 17 ; 17 ; 18 ; 18 ;; 18 ; 19 ; 19 ; 20 ; 20 ; 21 ; 21 ; 22 ; 23 ; 23 ;; 495 ;; 24 ; 24 ; 25 ; 25 ; 26 ; 27 ; 27 ; 28 ; 29 ; 30 ;; 760 ;; 30 ; 31 ; 32 ; 33 ; 33 ; 34 ; 35 ; 36 ; 37 ; 38 ;; 1.099 ;;91%;65%;53%
Algemene kosten; 317 ;; 66 ; 67 ; 69 ; 71 ; 72 ; 74 ; 76 ; 78 ; 80 ; 82 ;; 84 ; 86 ; 88 ; 90 ; 93 ; 95 ; 97 ; 100 ; 102 ; 105 ;; 107 ; 110 ; 113 ; 116 ; 119 ; 122 ; 125 ; 128 ; 131 ; 134 ;; 2.880 ;; 138 ; 141 ; 145 ; 148 ; 152 ; 156 ; 160 ; 164 ; 168 ; 172 ;; 4.422 ;; 176 ; 181 ; 185 ; 190 ; 194 ; 199 ; 204 ; 209 ; 215 ; 220 ;; 6.395 ;;;;
Afschrijvingen; 9 ;; 9 ; 9 ; 10 ; 10 ; 10 ; 10 ; 11 ; 11 ; 11 ; 12 ;; 12 ; 12 ; 12 ; 13 ; 13 ; 13 ; 14 ; 14 ; 14 ; 15 ;; 15 ; 15 ; 16 ; 16 ; 17 ; 17 ; 18 ; 18 ; 18 ; 19 ;; 405 ;; 19 ; 20 ; 20 ; 21 ; 21 ; 22 ; 22 ; 23 ; 24 ; 24 ;; 622 ;; 25 ; 25 ; 26 ; 27 ; 27 ; 28 ; 29 ; 29 ; 30 ; 31 ;; 899 ;;;;
Inflatie;;; 11 ; 21 ; 32 ; 42 ; 53 ; 71 ; 88 ; 106 ; 123 ; 141 ;; 158 ; 176 ; 193 ; 211 ; 228 ; 246 ; 263 ; 281 ; 298 ; 316 ;; 333 ; 351 ; 368 ; 386 ; 404 ; 421 ; 439 ; 456 ; 474 ; 491 ;; 7.180 ;; 509 ; 526 ; 544 ; 561 ; 579 ; 596 ; 614 ; 631 ; 649 ; 666 ;; 13.055 ;; 684 ; 701 ; 719 ; 736 ; 754 ; 772 ; 789 ; 807 ; 824 ; 842 ;; 20.682 ;;;;
Totaal vaste kosten; 1.015 ;; 444 ; 456 ; 467 ; 479 ; 492 ; 835 ; 858 ; 882 ; 906 ; 931 ;; 957 ; 983 ; 1.010 ; 1.038 ; 1.066 ; 1.096 ; 1.126 ; 1.157 ; 1.189 ; 1.222 ;; 1.255 ; 1.290 ; 1.326 ; 1.362 ; 1.400 ; 1.438 ; 1.478 ; 1.519 ; 1.561 ; 1.604 ;; 31.828 ;; 1.648 ; 1.694 ; 1.741 ; 1.789 ; 1.838 ; 1.889 ; 1.941 ; 1.995 ; 2.050 ; 2.107 ;; 50.522 ;; 2.166 ; 2.226 ; 2.287 ; 2.351 ; 2.416 ; 2.483 ; 2.552 ; 2.622 ; 2.695 ; 2.770 ;; 75.088 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rente; 124 ;; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ;; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.202 ; 1.189 ; 1.177 ;; 1.164 ; 1.139 ; 1.102 ; 1.064 ; 1.039 ; 1.002 ; 964 ; 927 ; 889 ; 839 ;; 34.127 ;; 789 ; 702 ; 652 ; 564 ; 477 ; 389 ; 302 ; 177 ; 52 ; -4 ;; 38.226 ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; 38.226 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resultaat voor vpb; 519 ;; 53 ; 84 ; 116 ; 148 ; 182 ; -115 ; -90 ; -64 ; -38 ; -11 ;; 16 ; 44 ; 73 ; 102 ; 132 ; 163 ; 194 ; 226 ; 272 ; 318 ;; 364 ; 424 ; 498 ; 572 ; 634 ; 710 ; 786 ; 864 ; 942 ; 1.033 ;; 8.633 ;; 1.126 ; 1.257 ; 1.352 ; 1.485 ; 1.619 ; 1.754 ; 1.890 ; 2.064 ; 2.240 ; 2.348 ;; 25.765 ;; 2.396 ; 2.450 ; 2.506 ; 2.562 ; 2.620 ; 2.679 ; 2.739 ; 2.800 ; 2.863 ; 2.927 ;; 52.306 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belastingen; 60 ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
