"id","straat","huisnummer","latitude","longitude","woz_waarde","woningtype","oppervlakte","last_updated"
1,"Amer","1","52.489082","5.4951134","€234.000","Hoekwoning","85","2025-04-20 06:19:30"
2,"Amer","3","52.489056","5.495063","€232.000","Tussenwoning","82","2025-04-20 06:19:31"
3,"Amer","5","52.48903","5.4950113","€232.000","Tussenwoning","82","2025-04-20 06:19:32"
4,"Amer","7","52.489002","5.494959","€232.000","Tussenwoning","82","2025-04-20 06:19:33"
5,"Amer","9","52.48898","5.494908","€232.000","Tussenwoning","82","2025-04-20 06:19:34"
6,"Amer","11","52.488953","5.494851","€232.000","Tussenwoning","82","2025-04-20 06:19:35"
7,"Amer","13","52.488926","5.4948025","€232.000","Tussenwoning","82","2025-04-20 06:19:36"
8,"Amer","15","52.48889","5.4947386","€232.000","Tussenwoning","82","2025-04-20 06:19:37"
9,"Amer","17","52.488777","5.494529","€232.000","Tussenwoning","82","2025-04-20 06:19:38"
10,"Amer","19","52.48874","5.4944634","€232.000","Tussenwoning","82","2025-04-20 06:19:40"
11,"Amer","21","52.488712","5.4944186","€232.000","Tussenwoning","82","2025-04-20 06:19:41"
12,"Amer","23","52.48868","5.4943748","€232.000","Tussenwoning","82","2025-04-20 06:19:42"
13,"Amer","25","52.48865","5.4943285","€232.000","Tussenwoning","82","2025-04-20 06:19:43"
14,"Amer","27","52.488625","5.4942822","€232.000","Tussenwoning","82","2025-04-20 06:19:44"
15,"Amer","29","52.488594","5.4942365","€232.000","Tussenwoning","82","2025-04-20 06:19:45"
16,"Amer","31","52.488564","5.494189","€232.000","Tussenwoning","82","2025-04-20 06:19:47"
17,"Amer","33","52.488537","5.4941444","€232.000","Tussenwoning","82","2025-04-20 06:19:48"
18,"Amer","35","52.488506","5.4940987","€232.000","Tussenwoning","82","2025-04-20 06:19:49"
19,"Amer","37","52.488476","5.494051","€235.000","Hoekwoning","85","2025-04-20 06:19:50"
20,"Amer","38","52.488293","5.494257","€235.000","Hoekwoning","85","2025-04-20 06:19:51"
21,"Amer","40","52.488323","5.494314","€232.000","Tussenwoning","82","2025-04-20 06:19:52"
22,"Amer","42","52.488354","5.494368","€232.000","Tussenwoning","82","2025-04-20 06:19:53"
23,"Amer","44","52.488384","5.4944186","€232.000","Tussenwoning","82","2025-04-20 06:19:54"
24,"Amer","46","52.488415","5.4944715","€232.000","Tussenwoning","82","2025-04-20 06:19:56"
25,"Amer","48","52.488445","5.4945292","€235.000","Hoekwoning","85","2025-04-20 06:19:57"
26,"Donaustraat","157","52.49","5.494105","€242.000","Hoekwoning","87","2025-04-20 06:19:58"
27,"Donaustraat","159","52.489956","5.4941144","€238.000","Tussenwoning","83","2025-04-20 06:19:59"
28,"Donaustraat","161","52.48991","5.494109","€238.000","Tussenwoning","83","2025-04-20 06:20:00"
29,"Donaustraat","163","52.489864","5.4941077","€238.000","Tussenwoning","83","2025-04-20 06:20:01"
30,"Donaustraat","165","52.489822","5.4941044","€238.000","Tussenwoning","83","2025-04-20 06:20:02"
31,"Donaustraat","167","52.489777","5.4941006","€238.000","Tussenwoning","83","2025-04-20 06:20:03"
32,"Donaustraat","169","52.489735","5.4940977","€238.000","Tussenwoning","83","2025-04-20 06:20:04"
33,"Donaustraat","171","52.48969","5.494093","€238.000","Tussenwoning","83","2025-04-20 06:20:05"
34,"Donaustraat","173","52.489647","5.4940915","€242.000","Hoekwoning","87","2025-04-20 06:20:07"
35,"Donaustraat","179","52.489426","5.494051","€242.000","Hoekwoning","87","2025-04-20 06:20:08"
36,"Donaustraat","181","52.48939","5.4940987","€238.000","Tussenwoning","83","2025-04-20 06:20:09"
37,"Donaustraat","183","52.48933","5.4942403","€238.000","Tussenwoning","83","2025-04-20 06:20:10"
38,"Donaustraat","185","52.48932","5.4941487","€238.000","Tussenwoning","83","2025-04-20 06:20:11"
39,"Donaustraat","187","52.48935","5.4942026","€238.000","Tussenwoning","83","2025-04-20 06:20:12"
40,"Donaustraat","189","52.48938","5.4942546","€238.000","Tussenwoning","83","2025-04-20 06:20:13"
41,"Donaustraat","191","52.489326","5.4943323","€238.000","Tussenwoning","83","2025-04-20 06:20:15"
42,"Donaustraat","193","52.489296","5.4942784","€238.000","Tussenwoning","83","2025-04-20 06:20:16"
43,"Donaustraat","195","52.489265","5.4942265","€242.000","Hoekwoning","87","2025-04-20 06:20:17"
44,"Donaustraat","156","52.490135","5.4937353","€242.000","Hoekwoning","87","2025-04-20 06:20:18"
45,"Donaustraat","160","52.490047","5.4937286","€244.000","Hoekwoning","89","2025-04-20 06:20:19"
46,"Donaustraat","180","52.48924","5.493717","€242.000","Hoekwoning","87","2025-04-20 06:20:20"
47,"Donaustraat","182","52.489204","5.493767","€238.000","Tussenwoning","83","2025-04-20 06:20:21"
48,"Donaustraat","184","52.48909","5.4939513","€238.000","Tussenwoning","83","2025-04-20 06:20:22"
49,"Donaustraat","186","52.48916","5.493858","€238.000","Tussenwoning","83","2025-04-20 06:20:24"
50,"Donaustraat","188","52.48913","5.493806","€238.000","Tussenwoning","83","2025-04-20 06:20:25"
51,"Donaustraat","190","52.489098","5.493752","€238.000","Tussenwoning","83","2025-04-20 06:20:26"
52,"Donaustraat","192","52.489048","5.49383","€238.000","Tussenwoning","83","2025-04-20 06:20:27"
53,"Donaustraat","194","52.489075","5.4938817","€238.000","Tussenwoning","83","2025-04-20 06:20:28"
54,"Donaustraat","196","52.489105","5.4939356","€242.000","Hoekwoning","87","2025-04-20 06:20:29"
55,"Maasstraat","2","52.489292","5.4973664","€230.000","Hoekwoning","84","2025-04-20 06:20:30"
56,"Maasstraat","4","52.489265","5.497304","€226.000","Tussenwoning","80","2025-04-20 06:20:32"
57,"Maasstraat","6","52.489235","5.4972506","€226.000","Tussenwoning","80","2025-04-20 06:20:33"
58,"Maasstraat","8","52.489204","5.497197","€226.000","Tussenwoning","80","2025-04-20 06:20:34"
59,"Maasstraat","12","52.489147","5.497087","€226.000","Tussenwoning","80","2025-04-20 06:20:35"
60,"Maasstraat","14","52.489117","5.4970336","€226.000","Tussenwoning","80","2025-04-20 06:20:36"
61,"Maasstraat","18","52.489056","5.4969263","€226.000","Tussenwoning","80","2025-04-20 06:20:37"
62,"Maasstraat","20","52.488983","5.496821","€226.000","Tussenwoning","80","2025-04-20 06:20:38"
63,"Maasstraat","22","52.488956","5.496768","€226.000","Tussenwoning","80","2025-04-20 06:20:39"
64,"Maasstraat","24","52.488926","5.4967146","€226.000","Tussenwoning","80","2025-04-20 06:20:40"
65,"Maasstraat","26","52.488895","5.496661","€226.000","Tussenwoning","80","2025-04-20 06:20:41"
66,"Maasstraat","28","52.488865","5.496608","€226.000","Tussenwoning","80","2025-04-20 06:20:43"
67,"Maasstraat","30","52.488834","5.4965544","€230.000","Hoekwoning","84","2025-04-20 06:20:44"
68,"Moezelstraat","18","52.49014","5.4953623","€255.000","Hoekwoning","92","2025-04-20 06:20:45"
69,"Moezelstraat","20","52.49014","5.4952917","€249.000","Tussenwoning","85","2025-04-20 06:20:46"
70,"Moezelstraat","22","52.490143","5.4952197","€249.000","Tussenwoning","85","2025-04-20 06:20:47"
71,"Moezelstraat","24","52.490143","5.495148","€249.000","Tussenwoning","85","2025-04-20 06:20:48"
72,"Moezelstraat","28","52.490135","5.495141","€249.000","Tussenwoning","85","2025-04-20 06:20:49"
73,"Moezelstraat","30","52.490143","5.4950595","€249.000","Tussenwoning","85","2025-04-20 06:20:50"
74,"Moezelstraat","32","52.490143","5.495142","€249.000","Tussenwoning","85","2025-04-20 06:20:51"
75,"Moezelstraat","34","52.490147","5.49506","€249.000","Tussenwoning","85","2025-04-20 06:20:52"
76,"Moezelstraat","36","52.490166","5.4946947","€255.000","Hoekwoning","92","2025-04-20 06:20:53"
77,"Moezelstraat","38","52.490158","5.4946017","€255.000","Hoekwoning","92","2025-04-20 06:20:54"
78,"Moezelstraat","40","52.490154","5.494668","€249.000","Tussenwoning","85","2025-04-20 06:20:55"
79,"Moezelstraat","42","52.49015","5.4945865","€249.000","Tussenwoning","85","2025-04-20 06:20:56"
80,"Moezelstraat","44","52.490154","5.4946685","€249.000","Tussenwoning","85","2025-04-20 06:20:58"
81,"Moezelstraat","46","52.490158","5.494586","€249.000","Tussenwoning","85","2025-04-20 06:20:59"
82,"Moezelstraat","48","52.49016","5.4945292","€249.000","Tussenwoning","85","2025-04-20 06:21:00"
83,"Moezelstraat","50","52.49016","5.494457","€249.000","Tussenwoning","85","2025-04-20 06:21:01"
84,"Moezelstraat","52","52.490166","5.4943852","€249.000","Tussenwoning","85","2025-04-20 06:21:02"
85,"Moezelstraat","54","52.490166","5.494313","€249.000","Tussenwoning","85","2025-04-20 06:21:03"
86,"Moezelstraat","56","52.49017","5.4942403","€249.000","Tussenwoning","85","2025-04-20 06:21:04"
87,"Moezelstraat","58","52.49017","5.4941683","€249.000","Tussenwoning","85","2025-04-20 06:21:05"
88,"Moezelstraat","60","52.49018","5.4940906","€255.000","Hoekwoning","92","2025-04-20 06:21:06"
89,"Rijnstraat","2","52.489464","5.4950686","€233.000","Hoekwoning","84","2025-04-20 06:21:07"
90,"Rijnstraat","4","52.489433","5.4951158","€228.000","Tussenwoning","81","2025-04-20 06:21:08"
91,"Rijnstraat","6","52.4894","5.495169","€228.000","Tussenwoning","81","2025-04-20 06:21:10"
92,"Rijnstraat","8","52.489365","5.4952173","€228.000","Tussenwoning","81","2025-04-20 06:21:11"
93,"Rijnstraat","31","52.48917","5.495953","€228.000","Tussenwoning","81","2025-04-20 06:21:12"
94,"Rijnstraat","32","52.489006","5.496204","€228.000","Tussenwoning","81","2025-04-20 06:21:13"
95,"Rijnstraat","33","52.4892","5.4960084","€228.000","Tussenwoning","81","2025-04-20 06:21:14"
96,"Rijnstraat","34","52.489033","5.4962573","€228.000","Tussenwoning","81","2025-04-20 06:21:15"
97,"Rijnstraat","35","52.48923","5.496062","€228.000","Tussenwoning","81","2025-04-20 06:21:16"
98,"Rijnstraat","36","52.489063","5.49631","€228.000","Tussenwoning","81","2025-04-20 06:21:17"
99,"Rijnstraat","37","52.489258","5.4961147","€228.000","Tussenwoning","81","2025-04-20 06:21:18"
100,"Rijnstraat","38","52.489094","5.4963636","€228.000","Tussenwoning","81","2025-04-20 06:21:19"
101,"Rijnstraat","39","52.48929","5.496168","€228.000","Tussenwoning","81","2025-04-20 06:21:20"
102,"Rijnstraat","40","52.489124","5.4964166","€228.000","Tussenwoning","81","2025-04-20 06:21:22"
103,"Rijnstraat","41","52.48932","5.49622","€228.000","Tussenwoning","81","2025-04-20 06:21:23"
104,"Rijnstraat","42","52.489155","5.4964705","€233.000","Hoekwoning","84","2025-04-20 06:21:24"
105,"Rivierenlaan","151","52.489975","5.4950514","€240.000","Hoekwoning","86","2025-04-20 06:21:25"
106,"Rivierenlaan","152","52.489983","5.4946632","€240.000","Hoekwoning","86","2025-04-20 06:21:26"
107,"Rivierenlaan","153","52.48993","5.4950504","€235.000","Tussenwoning","82","2025-04-20 06:21:27"
108,"Rivierenlaan","154","52.48994","5.4946604","€235.000","Tussenwoning","82","2025-04-20 06:21:28"
109,"Rivierenlaan","155","52.489883","5.495047","€235.000","Tussenwoning","82","2025-04-20 06:21:29"
110,"Rivierenlaan","156","52.489895","5.4946566","€235.000","Tussenwoning","82","2025-04-20 06:21:30"
111,"Rivierenlaan","161","52.489754","5.495035","€240.000","Hoekwoning","86","2025-04-20 06:21:31"
112,"Rivierenlaan","162","52.48976","5.494647","€240.000","Hoekwoning","86","2025-04-20 06:21:33"
113,"Rivierenlaan","163","52.489708","5.4950337","€235.000","Tussenwoning","82","2025-04-20 06:21:34"
114,"Rivierenlaan","164","52.48972","5.4946437","€235.000","Tussenwoning","82","2025-04-20 06:21:35"
115,"Rivierenlaan","168","52.489628","5.494628","€235.000","Tussenwoning","82","2025-04-20 06:21:36"
116,"Rivierenlaan","180","52.48949","5.4945965","€235.000","Tussenwoning","82","2025-04-20 06:21:37"
117,"Rivierenlaan","184","52.489433","5.49449","€235.000","Tussenwoning","82","2025-04-20 06:21:38"
118,"Rivierenlaan","186","52.489403","5.4944363","€235.000","Tussenwoning","82","2025-04-20 06:21:39"
119,"Rivierenlaan","187","52.489204","5.4946523","€240.000","Hoekwoning","86","2025-04-20 06:21:40"
120,"Rivierenlaan","188","52.489372","5.4943833","€235.000","Tussenwoning","82","2025-04-20 06:21:41"
121,"Rivierenlaan","189","52.48919","5.4946256","€235.000","Tussenwoning","82","2025-04-20 06:21:43"
122,"Rivierenlaan","191","52.48916","5.49457","€235.000","Tussenwoning","82","2025-04-20 06:21:44"
123,"Rivierenlaan","193","52.489166","5.494584","€235.000","Tussenwoning","82","2025-04-20 06:21:45"
124,"Rivierenlaan","195","52.489132","5.4945197","€235.000","Tussenwoning","82","2025-04-20 06:21:46"
125,"Rivierenlaan","197","52.489082","5.4944434","€235.000","Tussenwoning","82","2025-04-20 06:21:47"
126,"Rivierenlaan","199","52.4891","5.494463","€235.000","Tussenwoning","82","2025-04-20 06:21:48"
127,"Rivierenlaan","201","52.48909","5.494459","€235.000","Tussenwoning","82","2025-04-20 06:21:49"
128,"Rivierenlaan","203","52.48904","5.494526","€235.000","Tussenwoning","82","2025-04-20 06:21:50"
129,"Rivierenlaan","205","52.48904","5.4945145","€235.000","Tussenwoning","82","2025-04-20 06:21:51"
130,"Rivierenlaan","207","52.489006","5.4945655","€235.000","Tussenwoning","82","2025-04-20 06:21:53"
131,"Rivierenlaan","209","52.489006","5.4945745","€235.000","Tussenwoning","82","2025-04-20 06:21:54"
132,"Rivierenlaan","211","52.488884","5.4943514","€235.000","Tussenwoning","82","2025-04-20 06:21:55"
133,"Rivierenlaan","213","52.488876","5.4943337","€235.000","Tussenwoning","82","2025-04-20 06:21:56"
134,"Rivierenlaan","215","52.48891","5.4942827","€235.000","Tussenwoning","82","2025-04-20 06:21:57"
135,"Rivierenlaan","217","52.48892","5.4943037","€235.000","Tussenwoning","82","2025-04-20 06:21:58"
136,"Rivierenlaan","219","52.48896","5.4942284","€235.000","Tussenwoning","82","2025-04-20 06:21:59"
137,"Rivierenlaan","221","52.488956","5.4942183","€235.000","Tussenwoning","82","2025-04-20 06:22:00"
138,"Rivierenlaan","223","52.488945","5.4941854","€235.000","Tussenwoning","82","2025-04-20 06:22:01"
139,"Rivierenlaan","225","52.488914","5.4941325","€235.000","Tussenwoning","82","2025-04-20 06:22:02"
140,"Rivierenlaan","227","52.48889","5.4940953","€235.000","Tussenwoning","82","2025-04-20 06:22:04"
141,"Rivierenlaan","229","52.488888","5.4940825","€235.000","Tussenwoning","82","2025-04-20 06:22:05"
142,"Rivierenlaan","230","52.489063","5.4938307","€240.000","Hoekwoning","86","2025-04-20 06:22:06"
143,"Rivierenlaan","231","52.488857","5.494026","€235.000","Tussenwoning","82","2025-04-20 06:22:07"
144,"Rivierenlaan","232","52.489033","5.4937763","€235.000","Tussenwoning","82","2025-04-20 06:22:08"
145,"Rivierenlaan","233","52.488853","5.494027","€235.000","Tussenwoning","82","2025-04-20 06:22:09"
146,"Rivierenlaan","234","52.489002","5.493723","€235.000","Tussenwoning","82","2025-04-20 06:22:10"
147,"Rivierenlaan","236","52.48897","5.4936695","€235.000","Tussenwoning","82","2025-04-20 06:22:12"
148,"Rivierenlaan","238","52.48894","5.493616","€240.000","Hoekwoning","86","2025-04-20 06:22:13"
149,"Rivierenlaan","250","52.48926","5.493206","€240.000","Hoekwoning","86","2025-04-20 06:22:14"
150,"Rivierenlaan","252","52.489193","5.4932017","€235.000","Tussenwoning","82","2025-04-20 06:22:15"
151,"Rivierenlaan","254","52.48913","5.493197","€235.000","Tussenwoning","82","2025-04-20 06:22:16"
152,"Rivierenlaan","258","52.48904","5.4931","€235.000","Tussenwoning","82","2025-04-20 06:22:17"
153,"Rivierenlaan","260","52.48904","5.4930243","€235.000","Tussenwoning","82","2025-04-20 06:22:18"
154,"Rivierenlaan","262","52.489044","5.4929495","€235.000","Tussenwoning","82","2025-04-20 06:22:20"
155,"Rivierenlaan","264","52.489044","5.4928746","€235.000","Tussenwoning","82","2025-04-20 06:22:21"
156,"Rivierenlaan","266","52.489048","5.492797","€235.000","Tussenwoning","82","2025-04-20 06:22:22"
157,"Rivierenlaan","268","52.489067","5.492699","€235.000","Tussenwoning","82","2025-04-20 06:22:23"
158,"Rivierenlaan","270","52.489143","5.4927125","€235.000","Tussenwoning","82","2025-04-20 06:22:24"
159,"Rivierenlaan","272","52.48921","5.4927173","€235.000","Tussenwoning","82","2025-04-20 06:22:25"
160,"Rivierenlaan","274","52.489273","5.4927216","€235.000","Tussenwoning","82","2025-04-20 06:22:26"
161,"Rivierenlaan","276","52.489338","5.492726","€235.000","Tussenwoning","82","2025-04-20 06:22:28"
162,"Rivierenlaan","278","52.489407","5.4927444","€235.000","Tussenwoning","82","2025-04-20 06:22:29"
163,"Rivierenlaan","280","52.4894","5.49288","€235.000","Tussenwoning","82","2025-04-20 06:22:30"
164,"Rivierenlaan","282","52.489395","5.492986","€235.000","Tussenwoning","82","2025-04-20 06:22:31"
165,"Rivierenlaan","284","52.48939","5.493092","€235.000","Tussenwoning","82","2025-04-20 06:22:32"
166,"Rivierenlaan","286","52.48939","5.4932094","€240.000","Hoekwoning","86","2025-04-20 06:22:33"
167,"Scheldestraat","1","52.48985","5.4965277","€223.000","Hoekwoning","82","2025-04-20 06:22:34"
168,"Scheldestraat","3","52.489815","5.496479","€218.000","Tussenwoning","78","2025-04-20 06:22:35"
169,"Scheldestraat","4","52.489994","5.496211","€218.000","Tussenwoning","78","2025-04-20 06:22:37"
170,"Scheldestraat","6","52.489964","5.496157","€218.000","Tussenwoning","78","2025-04-20 06:22:38"
171,"Scheldestraat","8","52.489933","5.4961042","€218.000","Tussenwoning","78","2025-04-20 06:22:39"
172,"Scheldestraat","9","52.489727","5.4963193","€218.000","Tussenwoning","78","2025-04-20 06:22:40"
173,"Scheldestraat","10","52.489906","5.496047","€218.000","Tussenwoning","78","2025-04-20 06:22:41"
174,"Scheldestraat","11","52.489697","5.49626","€218.000","Tussenwoning","78","2025-04-20 06:22:42"
175,"Scheldestraat","13","52.489666","5.4962087","€218.000","Tussenwoning","78","2025-04-20 06:22:43"
176,"Scheldestraat","15","52.489635","5.4961557","€218.000","Tussenwoning","78","2025-04-20 06:22:44"
177,"Scheldestraat","18","52.489784","5.4958334","€218.000","Tussenwoning","78","2025-04-20 06:22:45"
178,"Scheldestraat","19","52.489548","5.495975","€218.000","Tussenwoning","78","2025-04-20 06:22:46"
179,"Scheldestraat","20","52.489716","5.4957285","€218.000","Tussenwoning","78","2025-04-20 06:22:47"
